id,order_id,stars,body
64,178,1,"Hands down the best cheese & tomato jaffle in Utrecht, will order weekly now."
65,275,1,"worst delivery experience I've had in ages, never again"
66,932,4,"the cheese & tomato jaffle was very good, only wish it came with fries"
67,810,2,"Loved every bite, will definitely be ordering again very soon."
68,1209,5,"the bread was toasted to perfection, filling melted just right"
69,158,4,"Really good apple cinnamon jaffle, just wish it came with a bit more sauce."
70,230,1,"never again, this was a total letdown from start to finish"
71,531,1,"Fantastic, wrong address again, love wasting an evening."
72,345,3,"Good taste but way too slow, evens out to a middling order."
73,2,1,"the pulled jackfruit jaffle was inedible, straight in the bin"
74,363,2,"Disappointing lunch, won't be my first choice next time."
75,368,5,So good I ordered a second one the same day.
76,1114,1,"Terrible, the banana nutella jaffle was cold and inedible."
77,1302,1,"Disgusting, genuinely one of the worst meals I've had."
78,721,3,"Not bad, not great, right in the middle for me."
79,956,3,"average experience, nothing stood out as good or bad"
80,1097,2,"Disappointing lunch, won't be my first choice next time."
81,479,2,"Not the experience I was hoping for, pretty mediocre."
82,502,2,"Amazing quality, fast delivery, could not be happier with this order."
83,785,3,"average vegan chili jaffle, wouldn't go out of my way for it again"
84,741,2,"Not what I was hoping for, quite bland overall."
85,1398,1,"never again, this was a total letdown from start to finish"
86,753,4,"Really good cheese & tomato jaffle, just wish it came with a bit more sauce."
87,1069,3,"Order was okay, delivery took a while but food was fine."
88,850,4,"the vegan chili jaffle was tasty, just a shame it's a bit pricey for the size"
89,226,5,"Awful quality, nothing like what I paid for, avoid this place."
90,22,5,"consistently good every single time I order, never disappoints"
91,1249,2,"disappointing overall, expected more from the reviews"
92,993,2,"Not a fan, probably a one time order for me."
93,318,4,"Tasty order, the only downside was a slightly greasy box."
94,727,2,"disappointed with the portion, felt overpriced for what it was"
95,160,5,"5 stars, easy. fast delivery and the food was still hot."
96,908,1,"worst delivery I've had, cold food and rude driver"
97,1342,2,"Not great, the ham & cheese jaffle was lukewarm and a bit bland."
98,138,1,"absolute disaster of an order, missing items and cold food"
99,3,1,"the food was stale and cold, an awful experience"
100,1371,5,"The staff even included a little thank you note, lovely touch."
101,884,2,the order was late and the food wasn't great either
102,277,3,"Average delivery experience overall, food arrived warm enough."
103,696,1,"Completely inedible, had to throw the whole thing away."
104,85,3,"the pulled jackfruit jaffle was fine, just not particularly exciting"
105,574,2,"disappointed with the portion, felt overpriced for what it was"
106,1062,3,"Good food, bad packaging, somewhere in the middle overall."
107,970,1,"never again, this was a total letdown from start to finish"
108,789,2,"the pulled jackfruit jaffle lacked flavour, quite a letdown"
109,940,2,the filling was skimpy and the bread a bit stale
110,1430,5,Everything about this order was spot on.
111,938,5,"the cheese & tomato jaffle arrived hot, fresh, and absolutely delicious, 5 stars"
112,1448,5,"The cheese & tomato jaffle was incredible, will absolutely order again."
113,1330,1,"Great, cold again. Love that for me."
114,514,2,"Outstanding experience from start to finish, five star quality food."
115,427,4,"the pulled jackfruit jaffle hit the spot, portion could be slightly bigger for the price"
116,1164,5,"consistently good every single time I order, never disappoints"
117,1417,5,"perfect every time, my go-to lunch spot now"
118,460,2,"underwhelmed, delivery driver couldn't find the address either"
119,944,3,"average experience, nothing stood out as good or bad"
120,887,3,"decent lunch option, nothing that stood out either way"
121,1026,3,the vegan chili jaffle tasted fine but portion felt on the smaller side
122,382,1,"never again, this was a total letdown from start to finish"
123,714,1,"the food was cold, stale, and just plain bad"
124,314,5,"Amazing experience start to finish, food and delivery both excellent."
125,333,2,"the banana nutella jaffle was okay at best, more miss than hit"
126,32,5,10/10 would recommend to anyone who loves a good jaffle.
127,182,5,Everything about this order was spot on.
128,42,4,"Tasty order, the only downside was a slightly greasy box."
129,1499,1,"Awful, the whole order was a disappointment top to bottom."
130,1440,5,"quick, hot, and packed with flavour, perfect combo"
131,1073,3,"the ham & cheese jaffle was okay, taste was fine but a bit forgettable"
132,337,1,"never trusting this place again, absolutely terrible"
133,217,4,"great food, delivery took slightly longer than expected but worth the wait"
134,341,2,"disappointing overall, expected more from the reviews"
135,1023,1,"worst delivery experience I've had in ages, never again"
136,1120,4,"Tasty and well portioned, wish it had come with cutlery."
137,1045,2,"underwhelmed, delivery driver couldn't find the address either"
138,441,3,"Average delivery experience overall, food arrived warm enough."
139,1117,5,"Amazing quality for the price, honestly surprised how good it was."
140,1247,1,"worst delivery experience I've had in ages, never again"
141,1042,4,"Never again, this was a complete disaster from start to finish."
142,1107,1,"Terrible, honestly regret ordering from here at all."
143,1355,1,"Awful, the whole order was a disappointment top to bottom."
144,876,5,"Amazing experience start to finish, food and delivery both excellent."
145,549,2,"the pulled jackfruit jaffle arrived cold, had to reheat it myself"
146,455,4,"the banana nutella jaffle was great, just a touch too salty for my taste"
147,1043,4,"Tasty and fresh, just missing the extra napkins I asked for."
148,21,3,"Nice flavour, disappointing size, so a fair middle score."
149,1220,1,"absolute disaster of an order, missing items and cold food"
150,578,5,Ordered for the whole office and everyone loved it.
151,1230,2,delivery was slow and the food wasn't worth the wait
152,664,1,"absolute disaster of an order, missing items and cold food"
153,1010,2,the vegan chili jaffle just wasn't very good this time round
154,902,3,"Loved the toastie, hated the wait, so right down the middle."
155,91,2,"the apple cinnamon jaffle was okay at best, more miss than hit"
156,103,4,"great overall experience, small thing but the cutlery was missing"
157,1181,1,"worst delivery I've had, cold food and rude driver"
158,905,1,"the cheese & tomato jaffle was burnt and tasted awful, refund please"
159,1486,1,"worst delivery experience I've had in ages, never again"
160,1178,4,"This was genuinely inedible, had to order something else instead."
161,204,2,the filling was skimpy and the bread a bit stale
162,352,2,"Below average experience, food just wasn't that good."
163,1290,3,It's a reasonable option but I wouldn't call it a favourite.
164,690,1,"the apple cinnamon jaffle was burnt and tasted awful, refund please"
165,1140,2,"the pulled jackfruit jaffle felt rushed, bread barely toasted"
166,1267,3,"Middling experience, some good bits, some meh bits."
167,198,1,"Incredible flavour, easily the best lunch I've had all year."
168,1283,4,"Good stuff, only nitpick is the drink wasn't very cold."
169,225,4,"Nice lunch, small gripe that the receipt had a typo on it."
170,604,5,"The vegan chili jaffle exceeded expectations, genuinely delicious."
171,1159,1,"Awful, the whole order was a disappointment top to bottom."
172,1442,2,"the vegan chili jaffle was okay at best, more miss than hit"
173,773,4,"great taste, wish the app made customising the order a bit easier"
174,1382,3,"Delicious but overpriced, cancels itself out for me."
175,848,3,"Ordered on a whim, it was just okay, might try something else next time."
176,31,4,"great food, delivery took slightly longer than expected but worth the wait"
177,1150,1,"worst vegan chili jaffle I've ever had, no exaggeration"
178,1116,5,"The vegan chili jaffle was burnt and inedible, deeply disappointed."
179,1256,4,"Would order again, delivery was a few minutes late but food was great."
180,1287,2,"disappointed, expected more for the price honestly"
181,819,4,"Enjoyed this a lot, minor gripe about the sauce being a bit sparse."
182,1036,4,"the pulled jackfruit jaffle was lovely, small complaint about the slightly soggy bottom"
183,870,2,the cheese & tomato jaffle was dry and lacking in flavour
184,729,1,"never again, this was a total letdown from start to finish"
185,716,3,It's a reasonable option but I wouldn't call it a favourite.
186,412,5,"Horrendous, waited two hours for stone cold, soggy food."
187,95,3,"Average delivery experience overall, food arrived warm enough."
188,752,2,"Pretty average at best, leaning towards disappointing."
189,642,4,"Solid 4 stars, food great, just wish delivery was a bit quicker."
190,1421,3,"the apple cinnamon jaffle was fine, just not particularly exciting"
191,1161,4,"great taste, wish the app made customising the order a bit easier"
192,417,3,"the ham & cheese jaffle was so-so, filling was a bit dry in places"
193,135,4,"Good food, would appreciate a loyalty discount for regulars."
194,722,5,"Amazing experience start to finish, food and delivery both excellent."
195,73,1,"Completely inedible, had to throw the whole thing away."
196,709,1,"This was genuinely disgusting, threw half of it away."
197,1186,2,"the order arrived messy, sauce everywhere in the bag"
198,211,4,"Tasty and well portioned, wish it had come with cutlery."
199,316,2,"Not a fan, probably a one time order for me."
200,1238,5,Ordered for the whole office and everyone loved it.
201,194,2,"Fantastic service and delicious food, genuinely impressed."
202,687,5,"excellent, fresh, and generous portions too"
203,620,4,"the cheese & tomato jaffle was good, only issue is it wasn't quite as hot as last time"
204,329,2,"Not the experience I was hoping for, pretty mediocre."
205,693,5,"No complaints whatsoever, this was genuinely fantastic."
206,678,5,"quick, hot, and packed with flavour, perfect combo"
207,632,4,"Tasty and fresh, just missing the extra napkins I asked for."
208,39,3,"the vegan chili jaffle was okay, taste was fine but a bit forgettable"
209,281,5,"The staff even included a little thank you note, lovely touch."
210,429,3,It's a reasonable option but I wouldn't call it a favourite.
211,375,2,"Underwhelming, probably won't order from here again."
212,1096,3,It's a reasonable option but I wouldn't call it a favourite.
213,909,2,"the order arrived messy, sauce everywhere in the bag"
214,431,5,"Genuinely one of the worst meals I've ever ordered, avoid."
215,645,5,"delicious and generously filled, would order again in a heartbeat"
216,1444,5,"Absolutely loved it, ordering again next week for sure."
217,1187,3,"It was alright, might try a different item next time."
218,443,4,"Solid 4 stars, food great, just wish delivery was a bit quicker."
219,89,5,"Never had a bad order from here, this one was no exception, brilliant."
220,847,4,"great overall experience, small thing but the cutlery was missing"
221,216,3,"the pulled jackfruit jaffle was alright, filling was a bit sparse for the price"
222,359,1,"absolute disaster of an order, missing items and cold food"
223,1352,2,delivery was slow and the food wasn't worth the wait
224,1213,5,"The vegan chili jaffle was incredible, will absolutely order again."
225,1015,4,"the cheese & tomato jaffle was good, only issue is it wasn't quite as hot as last time"
226,941,1,"horrible experience start to finish, avoid this place"
227,583,2,"Perfect, wrong order for the third time. Great job."
228,1081,5,"Never ordering again, the apple cinnamon jaffle was raw inside."
229,411,5,"Not one complaint, everything about this order was great."
230,265,5,Was skeptical at first but this completely won me over.
231,715,1,"worst order yet, cold, late, and just bad quality"
232,1312,1,"Awful, the whole order was a disappointment top to bottom."
233,1282,4,"the apple cinnamon jaffle was good, only issue is it wasn't quite as hot as last time"
234,425,5,"the toastie was crispy outside and gooey inside, exactly how I like it"
235,1266,2,the filling was skimpy and the bread a bit stale
236,795,1,"never trusting this place again, absolutely terrible"
237,327,5,"consistently good every single time I order, never disappoints"
238,929,4,"Good experience, food was great though delivery driver had trouble finding the door."
239,1008,3,"okay overall, delivery was fine, food was just average"
240,150,1,"the food arrived cold, soggy, and honestly disgusting"
241,71,4,"Tasty and fresh, just missing the extra napkins I asked for."
242,214,5,"The staff even included a little thank you note, lovely touch."
243,567,1,"never again, this was a complete waste of my evening"
244,488,3,It's an alright choice if you're not expecting much.
245,1227,4,"Really enjoyed it, would've liked a spicier option available."
246,374,5,This is hands down the best toastie place near Utrecht Centraal.
247,1202,3,"middle of the road, some bites were great others a bit bland"
248,917,3,"It was fine, nothing special but nothing wrong either."
249,1163,5,"delicious and generously filled, would order again in a heartbeat"
250,926,3,"Ordered on a whim, it was just okay, might try something else next time."
251,1464,3,"Order was okay, delivery took a while but food was fine."
252,656,4,"Solid order overall, packaging could be sturdier though."
253,293,5,"top marks, delicious and arrived earlier than expected"
254,464,3,"average banana nutella jaffle, wouldn't go out of my way for it again"
255,844,4,"the banana nutella jaffle hit the spot, portion could be slightly bigger for the price"
256,1279,4,"Tasty and well portioned, wish it had come with cutlery."
257,478,5,"The pulled jackfruit jaffle exceeded expectations, genuinely delicious."
258,579,3,"the banana nutella jaffle was alright, filling was a bit sparse for the price"
259,325,2,"the vegan chili jaffle was okay at best, more miss than hit"
260,185,1,"Lovely, burnt again. Really nailing it lately."
261,654,4,"Overall really happy, just a little pricier than I expected."
262,1362,2,"expected better honestly, filling was sparse and cold"
263,1419,3,It's a reasonable option but I wouldn't call it a favourite.
264,17,3,"the cheese & tomato jaffle was mediocre, bread a bit soft in places"
265,357,4,"the pulled jackfruit jaffle was tasty, just a shame it's a bit pricey for the size"
266,1136,1,"worst meal I've ordered all year, genuinely bad"
267,981,5,This is hands down the best toastie place near Utrecht Centraal.
268,546,3,"Middling experience, some good bits, some meh bits."
269,467,4,"Good quality overall, one small thing is the box was a bit crushed."
270,837,1,"Oh wonderful, they forgot the drink again. So reliable."
271,390,3,"It's fine for a quick lunch, wouldn't call it memorable."
272,653,2,"Great work, two hours for a cold sandwich. Bravo."
273,1191,2,"the pulled jackfruit jaffle was greasy and a bit overwhelming, not in a good way"
274,1170,5,"flavour combo was spot on, nothing to complain about at all"
275,57,1,"the food was cold, stale, and just plain bad"
276,128,5,Everything about this order was spot on.
277,1126,5,"Nothing went wrong here, honestly flawless delivery."
278,655,2,"disappointed, expected more for the price honestly"
279,790,3,"It's fine, three stars feels about right for this one."
280,434,3,Decent enough but I've had better toasties elsewhere.
281,1038,4,"Really good cheese & tomato jaffle, just wish it came with a bit more sauce."
282,526,4,"Really good banana nutella jaffle, just wish it came with a bit more sauce."
283,755,1,"absolute disaster of an order, missing items and cold food"
284,1127,2,the delivery was fine but the food itself was a letdown
285,1470,4,"Tasty and well portioned, wish it had come with cutlery."
286,1053,2,"The bread was soggy and the filling skimpy, not impressed."
287,339,3,"average experience, nothing stood out as good or bad"
288,1276,4,"Not bad at all, actually really enjoyed this one."
289,335,4,"very tasty, only wish it stayed hotter for longer"
290,331,4,"great food, delivery took slightly longer than expected but worth the wait"
291,986,1,"Perfect in every way, cannot recommend this place enough."
292,129,5,Was skeptical at first but this completely won me over.
293,1388,1,"This exceeded all my expectations, absolutely delicious."
294,1425,1,"never again, this was a complete waste of my evening"
295,723,2,"Sure, take two hours, no rush or anything."
296,1403,1,"worst order yet, cold, late, and just bad quality"
297,564,2,"Pretty average at best, leaning towards disappointing."
298,948,1,"Oh fantastic, another hour late. Just what I wanted."
299,834,5,Was skeptical at first but this completely won me over.
300,921,4,"Good quality overall, one small thing is the box was a bit crushed."
301,302,1,"the food was cold, stale, and just plain bad"
302,1317,1,"Awful, the whole order was a disappointment top to bottom."
303,831,1,"Awful, waited over an hour for cold, soggy food."
304,1387,5,"Terrible experience, cold food and a rude delivery driver."
305,945,3,"Fresh and tasty, but delivery driver was rude, evens out."
306,1435,2,The order took ages and the food was mediocre at best.
307,639,5,"5 stars, easy. fast delivery and the food was still hot."
308,416,4,"Nice lunch, small gripe that the receipt had a typo on it."
309,836,3,"middle of the road, some bites were great others a bit bland"
310,851,5,"the apple cinnamon jaffle was cooked to perfection, crispy and golden"
311,228,3,"okay, did what I needed it to do for a quick lunch"
312,387,4,"Really nice, minor complaint about the packaging being hard to open."
313,675,2,the order was late and the food wasn't great either
314,15,1,"Disgusting quality, would give zero stars if I could."
315,1306,4,"Worst meal I've had in months, complete waste of money."
316,12,5,"delicious and generously filled, would order again in a heartbeat"
317,1331,4,"Tasty and filling, only complaint is it could've been a touch warmer."
318,92,4,"Overall really happy, just a little pricier than I expected."
319,1180,2,"the banana nutella jaffle was greasy and a bit overwhelming, not in a good way"
320,1402,4,"Disgusting, the cheese & tomato jaffle tasted like it had gone off."
321,1284,3,"It was alright, might try a different item next time."
322,648,5,So good I ordered a second one the same day.
323,136,5,"Absolutely disgusting, threw the whole thing in the bin."
324,846,2,The order took ages and the food was mediocre at best.
325,543,2,"the vegan chili jaffle was okay at best, more miss than hit"
326,1241,1,"worst banana nutella jaffle I've ever had, no exaggeration"
327,1376,1,"the order was a mess, wrong items and terrible taste"
328,892,1,"the food was cold, stale, and just plain bad"
329,1304,5,"flavour combo was spot on, nothing to complain about at all"
330,1350,5,"Amazing quality for the price, honestly surprised how good it was."
331,244,4,"Really good pulled jackfruit jaffle, just wish it came with a bit more sauce."
332,45,1,"Awful service and even worse food, huge disappointment."
333,34,3,"decent lunch option, nothing that stood out either way"
334,767,2,"Wow, soggy bread, my favourite. Really outdid yourselves."
335,123,2,"Disappointing lunch, won't be my first choice next time."
336,77,2,"underwhelmed, delivery driver couldn't find the address either"
337,734,5,"Fast, fresh, and tasty. what more could you want"
338,812,4,"the ham & cheese jaffle was lovely, small complaint about the slightly soggy bottom"
339,1027,1,"worst ham & cheese jaffle I've ever had, no exaggeration"
340,1428,1,"the apple cinnamon jaffle tasted awful, definitely won't order again"
341,1400,4,"Great flavour combo, just a shame it wasn't quite as crispy as usual."
342,791,2,"disappointed, expected more for the price honestly"
343,157,1,"Absolutely delicious, staff were lovely and delivery was speedy too."
344,873,1,"worst order yet, cold, late, and just bad quality"
345,155,5,"Amazing experience start to finish, food and delivery both excellent."
346,116,4,"Good quality overall, one small thing is the box was a bit crushed."
347,1050,2,"the cheese & tomato jaffle arrived cold, had to reheat it myself"
348,748,5,This is hands down the best toastie place near Utrecht Centraal.
349,1488,3,"decent lunch option, nothing that stood out either way"
350,459,4,"Solid 4 stars, food great, just wish delivery was a bit quicker."
351,1475,3,the vegan chili jaffle tasted fine but portion felt on the smaller side
352,939,3,"Great taste but arrived cold, balances out to average."
353,801,1,"never ordering from here again, complete waste of money"
354,699,1,"horrible experience start to finish, avoid this place"
355,987,3,"decent lunch option, nothing that stood out either way"
356,234,4,"Good experience, food was great though delivery driver had trouble finding the door."
357,144,1,"the food was stale and cold, an awful experience"
358,859,1,"Terrible, arrived nearly two hours late and stone cold."
359,233,1,"Awful, waited over an hour for cold, soggy food."
360,1262,5,"Best jaffle I've had since moving to NL, no contest."
361,364,4,"the pulled jackfruit jaffle was lovely, small complaint about the slightly soggy bottom"
362,571,3,"It's fine for a quick lunch, wouldn't call it memorable."
363,1494,1,"worst delivery I've had, cold food and rude driver"
364,1310,5,"quick, hot, and packed with flavour, perfect combo"
365,792,3,"Middle ground review, some things good, some just average."
366,552,2,"The bread was soggy and the filling skimpy, not impressed."
367,344,3,"Not bad, not great, right in the middle for me."
368,1323,4,"great taste, wish the app made customising the order a bit easier"
369,520,3,"Order was okay, delivery took a while but food was fine."
370,853,5,"delicious and generously filled, would order again in a heartbeat"
371,824,1,"Best ham & cheese jaffle I've ever had, absolutely perfect in every way."
372,1134,4,"Nice lunch, small gripe that the receipt had a typo on it."
373,1055,2,"Not what I was hoping for, quite bland overall."
374,400,1,"the banana nutella jaffle was inedible, straight in the bin"
375,320,5,"Absolutely loved it, ordering again next week for sure."
376,207,3,"average experience, nothing stood out as good or bad"
377,958,4,"Enjoyed this a lot, minor gripe about the sauce being a bit sparse."
378,99,4,"Good quality overall, one small thing is the box was a bit crushed."
379,1064,2,the order was late and the food wasn't great either
380,953,3,"It did the job, though I probably won't order again soon."
381,1374,5,"the pulled jackfruit jaffle was cooked to perfection, crispy and golden"
382,1175,3,"okay overall, delivery was fine, food was just average"
383,475,5,This is hands down the best toastie place near Utrecht Centraal.
384,409,4,"Not disappointed in the slightest, great order overall."
385,1490,2,"not great, cold by the time it got to me"
386,321,5,So good I ordered a second one the same day.
387,999,5,"5 stars, easy. fast delivery and the food was still hot."
388,1255,4,"Tasty and filling, only complaint is it could've been a touch warmer."
389,1392,1,"horrible experience start to finish, avoid this place"
390,538,3,"It was alright, might try a different item next time."
391,94,1,"Amazing, missing half the order. Top marks for that."
392,605,4,"Tasty and filling, only complaint is it could've been a touch warmer."
393,254,1,"never again, this was a total letdown from start to finish"
394,754,1,"absolutely terrible, everything about this order went wrong"
395,482,5,The vegan chili jaffle was so good my kids asked for it again the next day.
396,1037,4,"Loved the flavour, portion was a little smaller than I hoped."
397,798,2,delivery was slow and the food wasn't worth the wait
398,1034,5,Ordered for the whole office and everyone loved it.
399,141,5,"excellent, fresh, and generous portions too"
400,183,1,"the food arrived cold, soggy, and honestly disgusting"
